cycle,branch,model,modeldate,candidate_Trump,candidate_Biden,candidate_3rd, ecwin_Trump , ecwin_Biden , ecwin_3rd , ec_nomajority , popwin_Trump , popwin_Biden ,popwin_3rd,ev_Trump,ev_Biden,ev_3rd,ev_Trump_hi,ev_Biden_hi,ev_3rd_hi,ev_Trump_lo,ev_Biden_lo,ev_3rd_lo, national_voteshare_Trump , national_voteshare_Biden , national_voteshare_3rd , nat_voteshare_other , national_voteshare_Trump_hi , national_voteshare_Biden_hi , national_voteshare_3rd_hi , nat_voteshare_other_hi , national_voteshare_Trump_lo , national_voteshare_Biden_lo , national_voteshare_3rd_lo ,nat_voteshare_other_lo,timestamp,simulations
2020,President,polls-plus,9/3/20,Trump,Biden,, 0.29 , 0.71 ,, 0.00 , 0.17 , 0.83 ,,218.3918,319.6082,,333,427,,111,205,, 46.18 , 52.48 ,, 1.34 , 50.43 , 56.74 ,, 2.04 , 41.93 , 48.22 ,,71%,9/3/20 14:02,40000
2020,President,polls-plus,9/2/20,Trump,Biden,, 0.29 , 0.70 ,, 0.00 , 0.17 , 0.83 ,,218.8979,319.1021,,333,427,,111,205,, 46.21 , 52.46 ,, 1.33 , 50.50 , 56.77 ,, 2.04 , 41.92 , 48.15 ,,70%,9/2/20 21:52,40000
2020,President,polls-plus,9/1/20,Trump,Biden,, 0.31 , 0.69 ,, 0.00 , 0.19 , 0.81 ,,222.6908,315.3092,,337,425,,113,201,, 46.39 , 52.28 ,, 1.33 , 50.73 , 56.59 ,, 2.04 , 42.09 , 47.96 ,,70%,9/1/20 19:06,40000
2020,President,polls-plus,8/31/20,Trump,Biden,, 0.32 , 0.67 ,, 0.00 , 0.19 , 0.81 ,,225.0621,312.938,,337,424,,114,201,, 46.46 , 52.22 ,, 1.32 , 50.77 , 56.56 ,, 2.05 , 42.11 , 47.90 ,,69%,8/31/20 19:00,40000
2020,President,polls-plus,8/30/20,Trump,Biden,, 0.31 , 0.69 ,, 0.00 , 0.19 , 0.81 ,,221.8873,316.1126,,337,428,,110,201,, 46.31 , 52.34 ,, 1.35 , 50.79 , 56.76 ,, 2.06 , 41.85 , 47.88 ,,71%,8/30/20 20:23,40000
2020,President,polls-plus,8/29/20,Trump,Biden,, 0.31 , 0.69 ,, 0.00 , 0.19 , 0.81 ,,220.7868,317.2131,,337,429,,109,201,, 46.26 , 52.40 ,, 1.33 , 50.76 , 56.92 ,, 2.05 , 41.77 , 47.88 ,,70%,8/29/20 19:00,40000
2020,President,polls-plus,8/28/20,Trump,Biden,, 0.30 , 0.69 ,, 0.00 , 0.19 , 0.81 ,,220.4639,317.5361,,337,429,,109,201,, 46.26 , 52.41 ,, 1.34 , 50.76 , 56.88 ,, 2.06 , 41.81 , 47.90 ,,70%,8/28/20 19:00,40000
2020,President,polls-plus,8/27/20,Trump,Biden,, 0.30 , 0.70 ,, 0.00 , 0.18 , 0.82 ,,220.3914,317.6086,,336,428,,110,202,, 46.28 , 52.39 ,, 1.32 , 50.71 , 56.78 ,, 2.03 , 41.90 , 47.98 ,,69%,8/27/20 19:00,40000
2020,President,polls-plus,8/26/20,Trump,Biden,, 0.30 , 0.70 ,, 0.00 , 0.19 , 0.81 ,,220.8551,317.1448,,337,428,,110,201,, 46.30 , 52.37 ,, 1.33 , 50.75 , 56.81 ,, 2.04 , 41.88 , 47.91 ,,69%,8/26/20 19:01,40000
2020,President,polls-plus,8/25/20,Trump,Biden,, 0.27 , 0.73 ,, 0.00 , 0.16 , 0.84 ,,213.9388,324.0612,,331,432,,106,207,, 46.02 , 52.67 ,, 1.30 , 50.44 , 57.08 ,, 2.02 , 41.62 , 48.26 ,,68%,8/25/20 23:50,40000
